id;first_name;last_name;date_of_birth;street;city;country;social_reason;phone_number;email;created;created_by;updated;updated_by
1;Walter;Kuhlman;2023-02-14;Sonia Lane;Ginochester;Iran;Intranet Cotton HTTP;infomediaries;Valentine_Bins@yahoo.com;2023-02-14T21:24:19;4383;2023-02-14T11:58:47;69066
2;Makenzie;Parker;2023-02-14;Hintz Plains;Lake Chad;Liberia;Electronics Intelligent Ergonomic;Auto;Wilton.Rath@gmail.com;2023-02-14T15:15:18;94938;2023-02-14T14:53:54;50516
3;Micheal;Ledner;2023-02-14;Jeremie Parkway;Margarettville;Antigua and Barbuda;lime Bahraini Bacon;transitional RSS compress;Matilda.Wunsch@yahoo.com;2023-02-14T09:31:05;54642;2023-02-14T19:10:49;20997
4;Kane;Rowe;2023-02-14;Rosina Turnpike;Kentwood;Jordan;Awesome;Berkshire;Sidney.Denesik@yahoo.com;2023-02-14T03:53:26;49984;2023-02-14T08:23:19;91921
5;Jordan;Buckridge;2023-02-14;Grayson Spring;Kerlukebury;Saint Vincent and the Grenadines;Mobility;Steel;Jeff_Davis@hotmail.com;2023-02-14T00:55:23;68137;2023-02-14T19:02:15;8091
6;Lucie;Botsford;2023-02-14;Brennon Land;Ryanfurt;Burundi;withdrawal capacitor Granite;Chips e-markets Row;Malika98@gmail.com;2023-02-14T20:36:42;9392;2023-02-14T07:04:24;24207
7;Yoshiko;Wyman;2023-02-14;Connelly Island;Nitzschebury;Guinea-Bissau;connecting artificial Account;interface Tasty;Skyla24@hotmail.com;2023-02-14T14:41:54;90815;2023-02-14T12:52:53;96028
8;Kathlyn;Vandervort;2023-02-14;MacGyver Corner;Kuhichaven;Turkmenistan;transmit client-driven Pants;User-centric Island hacking;Mary62@gmail.com;2023-02-14T02:44:25;23169;2023-02-14T19:38:32;38574
9;Merritt;Mohr;2023-02-13;Rachelle Isle;North Retta;Virgin Islands, British;pink;Borders Balboa;Hector_Torp@hotmail.com;2023-02-14T13:59:56;29957;2023-02-13T22:58:39;7734
10;Garret;Rogahn;2023-02-14;Davis Coves;East Giovani;Burkina Faso;Computer Jewelery Virginia;Planner Bedfordshire;Marie_Walter@yahoo.com;2023-02-14T09:49:50;27223;2023-02-14T19:19:24;85507
